frame,direction,pose_path,objects_path,video_source
video_center_10.mp4_frame_0015.jpg,center,data/keypoints/video_center_10.mp4_frame_0015.json,data/bounding_boxes/video_center_10.mp4_frame_0015.json,video_center_10.mp4
video_center_10.mp4_frame_0020.jpg,center,data/keypoints/video_center_10.mp4_frame_0020.json,data/bounding_boxes/video_center_10.mp4_frame_0020.json,video_center_10.mp4
video_center_10.mp4_frame_0025.jpg,center,data/keypoints/video_center_10.mp4_frame_0025.json,data/bounding_boxes/video_center_10.mp4_frame_0025.json,video_center_10.mp4
video_center_10.mp4_frame_0030.jpg,center,data/keypoints/video_center_10.mp4_frame_0030.json,data/bounding_boxes/video_center_10.mp4_frame_0030.json,video_center_10.mp4
video_center_10.mp4_frame_0035.jpg,center,data/keypoints/video_center_10.mp4_frame_0035.json,data/bounding_boxes/video_center_10.mp4_frame_0035.json,video_center_10.mp4
video_center_10.mp4_frame_0040.jpg,center,data/keypoints/video_center_10.mp4_frame_0040.json,data/bounding_boxes/video_center_10.mp4_frame_0040.json,video_center_10.mp4
video_center_10.mp4_frame_0045.jpg,center,data/keypoints/video_center_10.mp4_frame_0045.json,data/bounding_boxes/video_center_10.mp4_frame_0045.json,video_center_10.mp4
video_center_10.mp4_frame_0050.jpg,center,data/keypoints/video_center_10.mp4_frame_0050.json,data/bounding_boxes/video_center_10.mp4_frame_0050.json,video_center_10.mp4
video_center_10.mp4_frame_0055.jpg,center,data/keypoints/video_center_10.mp4_frame_0055.json,data/bounding_boxes/video_center_10.mp4_frame_0055.json,video_center_10.mp4
video_center_10.mp4_frame_0060.jpg,center,data/keypoints/video_center_10.mp4_frame_0060.json,data/bounding_boxes/video_center_10.mp4_frame_0060.json,video_center_10.mp4
video_center_10.mp4_frame_0065.jpg,center,data/keypoints/video_center_10.mp4_frame_0065.json,data/bounding_boxes/video_center_10.mp4_frame_0065.json,video_center_10.mp4
video_center_10.mp4_frame_0075.jpg,center,data/keypoints/video_center_10.mp4_frame_0075.json,data/bounding_boxes/video_center_10.mp4_frame_0075.json,video_center_10.mp4
video_center_10.mp4_frame_0080.jpg,center,data/keypoints/video_center_10.mp4_frame_0080.json,data/bounding_boxes/video_center_10.mp4_frame_0080.json,video_center_10.mp4
video_center_10.mp4_frame_0085.jpg,center,data/keypoints/video_center_10.mp4_frame_0085.json,data/bounding_boxes/video_center_10.mp4_frame_0085.json,video_center_10.mp4
video_center_11.mp4_frame_0085.jpg,center,data/keypoints/video_center_11.mp4_frame_0085.json,data/bounding_boxes/video_center_11.mp4_frame_0085.json,video_center_11.mp4
video_center_12.mp4_frame_0025.jpg,center,data/keypoints/video_center_12.mp4_frame_0025.json,data/bounding_boxes/video_center_12.mp4_frame_0025.json,video_center_12.mp4
video_center_12.mp4_frame_0030.jpg,center,data/keypoints/video_center_12.mp4_frame_0030.json,data/bounding_boxes/video_center_12.mp4_frame_0030.json,video_center_12.mp4
video_center_12.mp4_frame_0060.jpg,center,data/keypoints/video_center_12.mp4_frame_0060.json,data/bounding_boxes/video_center_12.mp4_frame_0060.json,video_center_12.mp4
video_center_13.mp4_frame_0080.jpg,center,data/keypoints/video_center_13.mp4_frame_0080.json,data/bounding_boxes/video_center_13.mp4_frame_0080.json,video_center_13.mp4
video_center_13.mp4_frame_0175.jpg,center,data/keypoints/video_center_13.mp4_frame_0175.json,data/bounding_boxes/video_center_13.mp4_frame_0175.json,video_center_13.mp4
video_center_13.mp4_frame_0180.jpg,center,data/keypoints/video_center_13.mp4_frame_0180.json,data/bounding_boxes/video_center_13.mp4_frame_0180.json,video_center_13.mp4
video_center_13.mp4_frame_0185.jpg,center,data/keypoints/video_center_13.mp4_frame_0185.json,data/bounding_boxes/video_center_13.mp4_frame_0185.json,video_center_13.mp4
video_center_13.mp4_frame_0195.jpg,center,data/keypoints/video_center_13.mp4_frame_0195.json,data/bounding_boxes/video_center_13.mp4_frame_0195.json,video_center_13.mp4
video_center_13_other.mp4_frame_0055.jpg,center,data/keypoints/video_center_13_other.mp4_frame_0055.json,data/bounding_boxes/video_center_13_other.mp4_frame_0055.json,video_center_13_other.mp4
video_center_13_other.mp4_frame_0060.jpg,center,data/keypoints/video_center_13_other.mp4_frame_0060.json,data/bounding_boxes/video_center_13_other.mp4_frame_0060.json,video_center_13_other.mp4
